Scores,Kinase,Module,Counts_Less_Than,Number_of_Scores,FDR
0,PSK1,Not_in_Mok,0,0,1
0,ALK2,Not_in_Mok,0,0,1
0,TEL1,Not_in_Mok,0,0,1
0,PKC1,Not_in_Mok,0,0,1
0,YPK3,Not_in_Mok,0,0,1
0,VPS15,Not_in_Mok,0,0,1
0,MEC1,Not_in_Mok,0,0,1
0,CHK1,Not_in_Mok,0,0,1
0,SAT4,Not_in_Mok,0,0,1
0,SSK22,Not_in_Mok,0,0,1
0,KIN82,Not_in_Mok,0,0,1
0,DUN1,Not_in_Mok,0,0,1
0,KIN28,Not_in_Mok,0,0,1
0,STE7,Not_in_Mok,0,0,1
0,PRR2,Not_in_Mok,0,0,1
0,PKH3,Not_in_Mok,0,0,1
0,PKH1,Not_in_Mok,0,0,1
0,SPS1,Not_in_Mok,0,0,1
0,SAK1,Not_in_Mok,0,0,1
0,ALK1,Not_in_Mok,0,0,1
0,PKP2,Not_in_Mok,0,0,1
0,SCY1,Not_in_Mok,0,0,1
0,COQ8,Not_in_Mok,0,0,1
0,RCK1,Not_in_Mok,0,0,1
0,DBF2,Not_in_Mok,0,0,1
0,BUB1,Not_in_Mok,0,0,1
0,BUD32,Not_in_Mok,0,0,1
0,IRE1,Not_in_Mok,0,0,1
0,TRA1,Not_in_Mok,0,0,1
0,KIC1,Not_in_Mok,0,0,1
0,PKP1,Not_in_Mok,0,0,1
0,SLN1,Not_in_Mok,0,0,1
0,IKS1,Not_in_Mok,0,0,1
0,BCK1,Not_in_Mok,0,0,1
0,IME2,Not_in_Mok,0,0,1
0,PBS2,Not_in_Mok,0,0,1
0,HAL5,Not_in_Mok,0,0,1
0,SWE1,Not_in_Mok,0,0,1
0,TOR1,Not_in_Mok,0,0,1
0,ELM1,Not_in_Mok,0,0,1
0,CTK1,Not_in_Mok,0,0,1
0,KDX1,Not_in_Mok,0,0,1
0,KKQ8,Not_in_Mok,0,0,1
0,PTK1,Not_in_Mok,0,0,1
0,TOR2,Not_in_Mok,0,0,1
0,KNS1,Not_in_Mok,0,0,1
0,KIN2,Not_in_Mok,0,0,1
0,MCP2,Not_in_Mok,0,0,1
0,STE11,Not_in_Mok,0,0,1
0,YMR291W,Not_in_Mok,0,0,1
0,CBK1,Not_in_Mok,0,0,1
0,NPR1,Not_in_Mok,0,0,1
0,RIO2,Not_in_Mok,0,0,1
0,SSK2,Not_in_Mok,0,0,1
0,YGK3,Not_in_Mok,0,0,1
0,CKA2,Not_in_Mok,0,0,1
0,RIO1,Not_in_Mok,0,0,1
0,MKK1,Not_in_Mok,0,0,1
0,HRK1,Not_in_Mok,0,0,1
0,SKS1,Not_in_Mok,0,0,1
0,SSN3,Not_in_Mok,0,0,1
0,YPL109C,Not_in_Mok,0,0,1
0,MKK2,Not_in_Mok,0,0,1
0,YPL150W,Not_in_Mok,0,0,1
0,SMK1,Not_in_Mok,0,0,1
0,ISR1,Not_in_Mok,0,0,1
0,SGV1,Not_in_Mok,0,0,1