Kinase,Common,In_Mok
rck2,YLR248W,yes
prr1,YKL116C,yes
kin1,YDR122W,yes
sky1,YMR216C,yes
tos3,YGL179C,yes
ypk1,YKL126W,yes
fmp48,YGR052W,yes
ynr047w,YNR047W,yes
yck3,YER123W,yes
yck1,YHR135C,yes
cdc7,YDL017W,yes
kcc4,YCL024W,yes
snf1,YDR477W,yes
kin4,YOR233W,yes
ypl141c,YPL141C,yes
sch9,YHR205W,yes
tpk2,YPL203W,yes
ypk2,YMR104C,yes
kin3,YAR018C,yes
yck2,YNL154C,yes
ykl171w,YKL171W,yes
tpk1,YJL164C,yes
atg1,YGL180W,yes
pkh2,YOL100W,yes
psk2,YOL045W,yes
rad53,YPL153C,yes
ark1,YNL020C,yes
hrr25,YPL204W,yes
ste20,YHL007C,yes
pho85-pho80,YPL031C,yes
cka1,YIL035C,yes
gcn2,YDR283C,yes
mrk1,YDL079C,yes
ipl1,YPL209C,yes
rim15,YFL033C,yes
tpk3,YKL166C,yes
pho85-pcl2,YPL031C,yes
ksp1,YHR082C,yes
rim11,YMR139W,yes
mck1,YNL307C,yes
skm1,YOL113W,yes
gin4,YDR507C,yes
hsl1,YKL101W,yes
ydl025c,YDL025C,yes
cla4,YNL298W,yes
cdc28,YBR160W,yes
vhs1,YDR247W,yes
yak1,YJL141C,yes
mps1,YDL028C,yes
slt2,YHR030C,yes
kss1,YGR040W,yes
hog1,YLR113W,yes
mek1,YOR351C,yes
cak1,YFL029C,yes
ptk2,YJR059W,yes
fus3,YBL016W,yes
cdc5,YMR001C,yes
pho85-pcl1,YPL031C,yes
prk1,YIL095W,yes
cdc15,YAR019C,yes
akl1,YBR059C,yes
cmk2,YOL016C,yes
cmk1,YFR014C,yes
PSK1,YAL017W,No
ALK2,YBL009W,No
TEL1,YBL088C,No
PKC1,YBL105C,No
YPK3,YBR028C,No
VPS15,YBR097W,No
MEC1,YBR136W,No
CHK1,YBR274W,No
SAT4,YCR008W,No
SSK22,YCR073C,No
KIN82,YCR091W,No
DUN1,YDL101C,No
KIN28,YDL108W,No
STE7,YDL159W,No
PRR2,YDL214C,No
PKH3,YDR466W,No
PKH1,YDR490C,No
SPS1,YDR523C,No
SAK1,YER129W,No
ALK1,YGL021W,No
PKP2,YGL059W,No
SCY1,YGL083W,No
COQ8,YGL119W,No
RCK1,YGL158W,No
DBF2,YGR092W,No
BUB1,YGR188C,No
BUD32,YGR262C,No
IRE1,YHR079C,No
TRA1,YHR099W,No
KIC1,YHR102W,No
PKP1,YIL042C,No
SLN1,YIL147C,No
IKS1,YJL057C,No
BCK1,YJL095W,No
IME2,YJL106W,No
PBS2,YJL128C,No
HAL5,YJL165C,No
SWE1,YJL187C,No
TOR1,YJR066W,No
ELM1,YKL048C,No
CTK1,YKL139W,No
KDX1,YKL161C,No
KKQ8,YKL168C,No
PTK1,YKL198C,No
TOR2,YKL203C,No
KNS1,YLL019C,No
KIN2,YLR096W,No
MCP2,YLR253W,No
STE11,YLR362W,No
YMR291W,YMR291W,No
CBK1,YNL161W,No
NPR1,YNL183C,No
RIO2,YNL207W,No
SSK2,YNR031C,No
YGK3,YOL128C,No
CKA2,YOR061W,No
RIO1,YOR119C,No
MKK1,YOR231W,No
HRK1,YOR267C,No
SKS1,YPL026C,No
SSN3,YPL042C,No
YPL109C,YPL109C,No
MKK2,YPL140C,No
YPL150W,YPL150W,No
SMK1,YPR054W,No
ISR1,YPR106W,No
SGV1,YPR161C,No
DBF20,YPR111W,No